1,3.14946e-06
2,1.28244e-05
3,2.92789e-05
4,5.2669e-05
5,8.30729e-05
6,0.000120509
7,0.000164947
8,0.000216319
9,0.000274524
10,0.000339432
11,0.000410887
12,0.000488708
13,0.000572695
14,0.000662628
15,0.000758269
16,0.000859367
17,0.000965657
18,0.00107686
19,0.0011927
20,0.00131287
21,0.00143413
22,0.00155887
23,0.0016868
24,0.00181762
25,0.00195107
26,0.00208684
27,0.00222468
28,0.00236431
29,0.00250549
30,0.00264796
31,0.00279146
32,0.00293573
33,0.00308049
34,0.00322541
35,0.00337016
36,0.00351431
37,0.00365742
38,0.00379894
39,0.00393827
40,0.00407472
41,0.00420421
42,0.00432909
43,0.00444849
44,0.00456149
45,0.00466716
46,0.0047645
47,0.00485254
48,0.00493034
49,0.00499697
50,0.00505159
51,0.00509343
52,0.00512186
53,0.00513636
54,0.00513657
55,0.00512233
56,0.00509364
57,0.00505072
58,0.00499402
59,0.00492421
60,0.00484217
61,0.00474789
62,0.00464391
63,0.00453171
64,0.00441289
65,0.00428911
66,0.00416204
67,0.00403331
68,0.00390446
69,0.00377692
70,0.00365196
71,0.00353071
72,0.00341412
73,0.003303
74,0.00319799
75,0.00309959
76,0.00300817
77,0.00292397
78,0.00284712
79,0.00277768
80,0.0027156
81,0.00266113
82,0.0026137
83,0.00257312
84,0.00253922
85,0.00251181
86,0.00249074
87,0.00247591
88,0.00246724
89,0.00246472
90,0.0024684
91,0.00247838
92,0.00249481
93,0.00251788
94,0.00254779
95,0.00258477
96,0.00262906
97,0.00268087
98,0.0027404
99,0.00280783
100,0.00288328
