0.0087,1.21045e+14,-1.4196e+14,1.67225e+14,-0.282116,80.3765 
0.0088,3.58518e+14,-4.1749e+14,4.88541e+14,-0.294914,85.6621 
0.0089,1.04769e+15,-1.21074e+15,1.40677e+15,-0.30781,91.4818 
0.009,3.02388e+15,-3.4659e+15,3.99648e+15,-0.320808,97.7864 
0.0091,8.62912e+15,-9.80324e+15,1.12118e+16,-0.333915,104.502 
0.0092,2.4372e+16,-2.74249e+16,3.10904e+16,-0.347136,111.528 
0.0093,6.8199e+16,-7.59569e+16,8.52976e+16,-0.360479,118.734 
0.0094,1.89259e+17,-2.08472e+17,2.31742e+17,-0.37395,125.96 
0.0095,5.21346e+17,-5.6752e+17,6.24042e+17,-0.387554,133.008 
0.0096,1.42679e+18,-1.5337e+18,1.66698e+18,-0.401299,139.647 
0.0097,3.8823e+18,-4.1178e+18,4.42077e+18,-0.415189,145.618 
0.0098,1.05098e+19,-1.09915e+19,1.16474e+19,-0.429229,150.647 
0.0099,2.83205e+19,-2.91863e+19,3.05073e+19,-0.443422,154.464 
0.01,7.59921e+19,-7.71315e+19,7.94797e+19,-0.457772,156.837 
0.0101,2.03089e+20,-2.02938e+20,2.06052e+20,-0.472278,157.593 
0.0102,5.40592e+20,-5.31688e+20,5.31742e+20,-0.48694,156.65 
0.0103,1.43307e+21,-1.38719e+21,1.36619e+21,-0.501755,154.025 
0.0104,3.78235e+21,-3.60374e+21,3.49486e+21,-0.51672,149.84 
0.0105,9.93536e+21,-9.31997e+21,8.90076e+21,-0.531829,144.307 
0.0106,2.59609e+22,-2.39866e+22,2.25642e+22,-0.547075,137.7 
0.0107,6.74418e+22,-6.14089e+22,5.69219e+22,-0.562451,130.328 
0.0108,1.74084e+23,-1.5631e+23,1.42839e+23,-0.577949,122.504 
0.0109,4.46221e+23,-3.95374e+23,3.56393e+23,-0.593561,114.519 
0.011,1.13516e+24,-9.93261e+23,8.83744e+23,-0.609277,106.624 
0.0111,2.86453e+24,-2.477e+24,2.17685e+24,-0.62509,99.0234 
0.0112,7.1669e+24,-6.12896e+24,5.32392e+24,-0.640993,91.8679 
0.0113,1.77711e+25,-1.50401e+25,1.29223e+25,-0.656978,85.2626 
0.0114,4.36571e+25,-3.65891e+25,3.11152e+25,-0.673038,79.2705 
0.0115,1.06227e+26,-8.82161e+25,7.42974e+25,-0.689168,73.9209 
0.0116,2.55956e+26,-2.10728e+26,1.75876e+26,-0.705362,69.2171 
0.0117,6.10639e+26,-4.98638e+26,4.12625e+26,-0.721616,65.1438 
0.0118,1.4423e+27,-1.16862e+27,9.59254e+26,-0.737925,61.6726 
0.0119,3.37256e+27,-2.71231e+27,2.20939e+27,-0.754287,58.7675 
0.012,7.80736e+27,-6.234e+27,5.0411e+27,-0.770698,56.3874 
0.0121,1.78942e+28,-1.4189e+28,1.13937e+28,-0.787157,54.4896 
0.0122,4.06087e+28,-3.19819e+28,2.55084e+28,-0.80366,53.0309 
0.0123,9.12587e+28,-7.13933e+28,5.65697e+28,-0.820207,51.9689 
0.0124,2.03113e+29,-1.57851e+29,1.24277e+29,-0.836796,51.2623 
0.0125,4.47797e+29,-3.45723e+29,2.70477e+29,-0.853427,50.8712 
0.0126,9.78084e+29,-7.50166e+29,5.8324e+29,-0.870098,50.7575 
0.0127,2.11693e+30,-1.61288e+30,1.24622e+30,-0.88681,50.884 
0.0128,4.54106e+30,-3.43664e+30,2.63892e+30,-0.903561,51.2151 
0.0129,9.65643e+30,-7.25822e+30,5.53872e+30,-0.920353,51.7158 
0.013,2.03599e+31,-1.51975e+31,1.15242e+31,-0.937185,52.3524 
